Timer,K_decision,Rejection_Threshold,Final_Error,Converged
2,6,11,2093.428858788896,False
2,6,12,2069.5101787159792,False
2,6,13,1856.6106127334913,False
2,6,14,3418.7816058741737,False
2,7,5,1944.6744471218738,False
2,7,6,1848.0385600162556,False
2,7,7,1830.5166453110794,False
2,7,8,1729.6958773654258,False
2,7,9,1693.0600032306968,False
2,7,10,1698.6058921455322,False
2,7,11,1846.9276113868864,False
2,7,12,1623.0015576370915,False
2,7,13,1717.1050162278214,False
2,7,14,1629.497668370053,False
2,8,5,4589.2335803700935,False
2,8,6,4015.7919689070877,False
2,8,7,2910.344123470374,False
2,8,8,2480.662112491325,False
2,8,9,2072.2271430104215,False
2,8,10,2257.1029133377465,False
2,8,11,1861.9094946006308,False
2,8,12,1977.8525816938802,False
2,8,13,1809.6120423507284,False
2,8,14,1809.1419321597564,False
2,9,5,3040.357597616765,False
2,9,6,2019.7430049043833,False
2,9,7,2462.955777674351,False
2,9,8,1971.1573801380823,False
2,9,9,3424.932189435338,False
2,9,10,2134.08536643345,False
2,9,11,2215.1899708608366,False
2,9,12,1790.6477986478383,False
2,9,13,1945.9628181192593,False
2,9,14,2765.45396776486,False
2,10,5,1723.3072908726022,False
2,10,6,1822.7618573055297,False
2,10,7,2123.226968654572,False
2,10,8,1664.4896262964558,False
2,10,9,1637.035137574712,False
2,10,10,1614.5074528008797,False
2,10,11,1694.200041683931,False
2,10,12,1913.4375928031054,False
2,10,13,1671.7851572432653,False
2,10,14,1757.7903455121875,False
3,1,5,8219.995192915965,False
3,1,6,8381.292230871932,False
3,1,7,8248.96355610687,False
3,1,8,8224.651183848877,False
3,1,9,8288.291164135728,False
3,1,10,8316.302906286308,False
3,1,11,6110.3739540832885,False
3,1,12,8480.551310403107,False
3,1,13,5513.539414300534,False
3,1,14,8393.477291552083,False
3,2,5,2071.9575096555586,False
3,2,6,1696.8430816097746,False
3,2,7,2521.7237605300897,False
3,2,8,1975.4386472066385,False
3,2,9,1943.3756055745557,False
3,2,10,2042.1329098938459,False
3,2,11,3933.9649093798844,False
3,2,12,1567.824128290926,False
3,2,13,1871.2987489888585,False
3,2,14,2305.238821464914,False
3,3,5,3397.9616099305053,False
3,3,6,1989.6137984125282,False
3,3,7,4570.610598970395,False
3,3,8,2110.423003226483,False
3,3,9,2551.633863374161,False
3,3,10,1778.0906457560884,False
3,3,11,2152.211273408071,False
3,3,12,1777.6267054722339,False
3,3,13,1957.6456918422884,False
3,3,14,1978.6112289441583,False
3,4,5,3194.5644286124066,False
3,4,6,2470.9603905050762,False
